1,長崎市,ﾅｶﾞｻｷｹﾝ,ﾅｶﾞｻｷｼ,,
2,佐世保市,ﾅｶﾞｻｷｹﾝ,ｻｾﾎﾞｼ,,
3,島原市,ﾅｶﾞｻｷｹﾝ,ｼﾏﾊﾞﾗｼ,,
4,諫早市,ﾅｶﾞｻｷｹﾝ,ｲｻﾊﾔｼ,,
5,大村市,ﾅｶﾞｻｷｹﾝ,ｵｵﾑﾗｼ,,
6,平戸市,ﾅｶﾞｻｷｹﾝ,ﾋﾗﾄﾞｼ,,
7,松浦市,ﾅｶﾞｻｷｹﾝ,ﾏﾂｳﾗｼ,,
8,対馬市,ﾅｶﾞｻｷｹﾝ,ﾂｼﾏｼ,,
9,壱岐市,ﾅｶﾞｻｷｹﾝ,ｲｷｼ,,
10五島市,ﾅｶﾞｻｷｹﾝ,ｺﾞﾄｳｼ,,
11,西海市,ﾅｶﾞｻｷｹﾝ,ｻｲｶｲｼ,,
12,雲仙市,ﾅｶﾞｻｷｹﾝ,ｳﾝｾﾞﾝｼ,,
13,南島原市,ﾅｶﾞｻｷｹﾝ,ﾐﾅﾐｼﾏﾊﾞﾗｼ,,
14,長与町,ﾅｶﾞｻｷｹﾝ,ﾅｶﾞﾖﾁｮｳ,,
15,時津町,ﾅｶﾞｻｷｹﾝ,ﾄｷﾞﾂﾁｮｳ,,
16,東彼杵町,ﾅｶﾞｻｷｹﾝ,ﾋｶﾞｼｿﾉｷﾞﾁｮｳ,,
17,川棚町,ﾅｶﾞｻｷｹﾝ,ｶﾜﾀﾅﾁｮｳ,,
18,波佐見町,ﾅｶﾞｻｷｹﾝ,ﾊｻﾐﾁｮｳ,,
19,小値賀町,ﾅｶﾞｻｷｹﾝ,ｵﾁﾞｶﾁｮｳ,,
20,佐々町,ﾅｶﾞｻｷｹﾝ,ｻｻﾞﾁｮｳ,,
21,新上五島町,ﾅｶﾞｻｷｹﾝ,ｼﾝｶﾐｺﾞﾄｳﾁｮｳ,,
